,Group,Kingdom,Phylum,Class,Order,Family,Genus,Species,Forma,AuthorComments,Author,SpeciesID,Carbon,Biovolume,CellVolCubicMeters,GenusSpecies
59,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,lineatum,,,Derek S.Harbour,39,1028.0,6958.984459662571,6.96e-15,Ceratium lineatum
60,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,lineatum,,,Derek S.Harbour,39,1648.0,11497.2182023779,1.15e-14,Ceratium lineatum
61,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,longipes,,,Derek S.Harbour,40,6562.0,50000.5415971783,5.00e-14,Ceratium longipes
62,Ciliates,Chromista,Ciliophora,Oligohymenophorea,Pleuronematida,Cyclidiidae,Cyclidium,oligotrichum,,<20μm,Derek S.Harbour,41,90.0,521.529963894225,5.22e-16,Cyclidium oligotrichum
63,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,macroceros,,,Derek S.Harbour,42,4288.0,31797.9189916851,3.18e-14,Ceratium macroceros
64,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,macroceros,,,Derek S.Harbour,42,6562.0,50000.5415971783,5.00e-14,Ceratium macroceros
65,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,macroceros,,,Derek S.Harbour,42,7422.0,56999.8025262241,5.70e-14,Ceratium macroceros
66,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,massiliense,,,Derek S.Harbour,43,7422.0,56999.8025262241,5.70e-14,Ceratium massiliense
67,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,minutum,,,Derek S.Harbour,44,514.0,3328.9033822452097,3.33e-15,Ceratium minutum
68,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,minutum,,,Derek S.Harbour,44,753.4107351803349,5000.0,5.00e-15,Ceratium minutum
69,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,paradoxides,,,Derek S.Harbour,45,21499.880968781297,176714.58676442603,1.77e-13,Ceratium paradoxides
70,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,pentagonum,,,Derek S.Harbour,46,2056.0,14547.5729238986,1.45e-14,Ceratium pentagonum
71,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,pentagonum,,,Derek S.Harbour,46,3162.4536266556797,22999.9999999999,2.30e-14,Ceratium pentagonum
72,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,platycorne,,,Derek S.Harbour,47,1028.0,6958.984459662571,6.96e-15,Ceratium platycorne
73,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,platycorne,,,Derek S.Harbour,47,237.776133694822,3887.7209088173604,3.89e-15,Ceratium platycorne
74,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,platycorne,,,Derek S.Harbour,47,24.736185030033496,197.920337176157,1.98e-16,Ceratium platycorne
75,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,pulchellum,,,Derek S.Harbour,48,4288.0,31797.9189916851,3.18e-14,Ceratium pulchellum
76,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,ranipes,,,Derek S.Harbour,49,10686.0,83998.4857937441,8.40e-14,Ceratium ranipes
77,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,ranipes,,,Derek S.Harbour,49,1648.0,11497.2182023779,1.15e-14,Ceratium ranipes
78,Ciliates,Chromista,Ciliophora,Oligohymenophorea,Pleuronematida,Cyclidiidae,Cyclidium,oligotrichum,,>30μm,Derek S.Harbour,50,6279.0,47709.7231970768,4.77e-14,Cyclidium oligotrichum
79,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,symmetricum,,,Derek S.Harbour,51,8205.75886323281,63424.0527847956,6.34e-14,Ceratium symmetricum
80,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,teres,,,Derek S.Harbour,52,1028.0,6958.984459662571,6.96e-15,Ceratium teres
81,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,teres,,,Derek S.Harbour,52,1648.0,11497.2182023779,1.15e-14,Ceratium teres
82,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,trichoceros,,,Derek S.Harbour,53,275.209397866487,4712.38898038469,4.71e-15,Ceratium trichoceros
83,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,trichoceros,,,Derek S.Harbour,53,316.11201792122,5654.866776461629,5.65e-15,Ceratium trichoceros
84,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,trichoceros,,,Derek S.Harbour,53,4288.0,31797.9189916851,3.18e-14,Ceratium trichoceros
85,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,trichoceros,,,Derek S.Harbour,53,4692.71264914473,34999.999999999905,3.50e-14,Ceratium trichoceros
86,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,trichoceros,,,Derek S.Harbour,53,480.75069386329,9817.477042468108,9.82e-15,Ceratium trichoceros
87,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,tripos,,,Derek S.Harbour,54,13769.2131849745,109999.99999999901,1.10e-13,Ceratium tripos
88,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,tripos,,,Derek S.Harbour,54,14709.0,118004.064401092,1.18e-13,Ceratium tripos
89,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,tripos,,,Derek S.Harbour,54,6220.80482053729,47239.4538000001,4.72e-14,Ceratium tripos
90,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,tripos,,,Derek S.Harbour,54,8205.75886323281,63424.0527847956,6.34e-14,Ceratium tripos
91,Diatom,Chromista,Myzozoa,Peridinea,Gonyaulacida,Ceratiaceae,Ceratium,vultur,,,Derek S.Harbour,55,4288.0,31797.9189916851,3.18e-14,Ceratium vultur
92,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,longipes,,,Derek S.Harbour,56,325.0,5864.99410905097,5.86e-15,Achnanthes longipes
94,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Asterolamprales,Asterolampraceae,Asteromphalus,flabellatus,,,Derek S.Harbour,58,402.671653195553,7775.441817634741,7.78e-15,Asteromphalus flabellatus
96,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Asterolamprales,Asterolampraceae,Asteromphalus,heptactis,,,Derek S.Harbour,60,603.911894960087,13253.5940073319,1.33e-14,Asteromphalus heptactis
97,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Asterolamprales,Asterolampraceae,Asteromphalus,hyalinus,,,Derek S.Harbour,61,430.19995835330803,8482.30016469243,8.48e-15,Asteromphalus hyalinus
102,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Asterolamprales,Asterolampraceae,Asteromphalus,parvulus,,,Derek S.Harbour,65,192.54492371965,2945.24311274043,2.95e-15,Asteromphalus parvulus
103,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Asterolamprales,Asterolampraceae,Asteromphalus,sarcophagus,,,Derek S.Harbour,66,28.6391776690104,240.0,2.40e-16,Asteromphalus sarcophagus
104,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Bacillaria,paxillifera,,,Derek S.Harbour,67,261.0,4394.89026727561,4.39e-15,Bacillaria paxillifera
105,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,closterium,,,Derek S.Harbour,68,20.0,149.637163774564,1.50e-16,Cylindrotheca closterium
106,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,cylindrus,,D ,Derek S.Harbour,69,2.22752328733189,8.333333333333321,8.33e-18,Fragilariopsis cylindrus
107,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,doliolus,,,Derek S.Harbour,70,427.023973524449,8400.00000000001,8.40e-15,Fragilariopsis doliolus
108,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,doliolus,,,Derek S.Harbour,70,66.93127279776189,733.333333333334,7.33e-16,Fragilariopsis doliolus
109,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,kerguelensis,,B ,Derek S.Harbour,71,57.9484870000961,606.6666666666661,6.07e-16,Fragilariopsis kerguelensis
110,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,kerguelensis,,,Derek S.Harbour,72,57.463880501315096,599.999999999999,6.00e-16,Fragilariopsis kerguelensis
114,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,oceanica,,,Derek S.Harbour,75,32.0,277.72718518475,2.78e-16,Fragilariopsis oceanica
115,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,bicapitata,,,Derek S.Harbour,76,4.63831807074426,21.875,2.19e-17,Nitzschia bicapitata
116,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,closterium,,,Derek S.Harbour,77,20.0,149.637163774564,1.50e-16,Nitzschia closterium
117,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,closterium,,,Derek S.Harbour,77,2.22752328733189,8.333333333333321,8.33e-18,Nitzschia closterium
118,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,closterium,,,Derek S.Harbour,77,4.63831807074426,21.875,2.19e-17,Nitzschia closterium
119,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,closterium,,,Derek S.Harbour,77,5.3276817451369896,26.25,2.63e-17,Nitzschia closterium
120,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,closterium,,Small,Derek S.Harbour,78,0.526807088340769,1.25,1.25e-18,Nitzschia closterium
121,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,delicatissima,,,Derek S.Harbour,79,3.03145837903582,12.5,1.25e-17,Nitzschia delicatissima
122,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,delicatissima,,,Derek S.Harbour,79,6.44893605461228,33.75,3.38e-17,Nitzschia delicatissima
123,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,delicatissima,,,Derek S.Harbour,79,9.0,52.328723891924106,5.23e-17,Nitzschia delicatissima
124,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,longissima,,,Derek S.Harbour,80,15.0,102.48171710304001,1.02e-16,Nitzschia longissima
125,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,longissima,,,Derek S.Harbour,80,20.0,149.637163774564,1.50e-16,Nitzschia longissima
140,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,panduriformis,,,Derek S.Harbour,93,162.51013961838,2356.19449019234,2.36e-15,Nitzschia panduriformis
141,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,panduriformis,,,Derek S.Harbour,93,163.0,2365.54415211644,2.37e-15,Nitzschia panduriformis
143,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,pungens,,,Derek S.Harbour,94,35.214053594668606,315.0,3.15e-16,Nitzschia pungens
144,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,pungens,,,Derek S.Harbour,94,50.0,499.62566872097705,5.00e-16,Nitzschia pungens
145,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,seriata,,,Derek S.Harbour,95,20.0,149.637163774564,1.50e-16,Nitzschia seriata
146,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,seriata,,,Derek S.Harbour,95,36.214053594668606,326.822559096903,3.27e-16,Nitzschia seriata
147,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,seriata,,,Derek S.Harbour,95,50.0,499.62566872097705,5.00e-16,Nitzschia seriata
149,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,sigma,,,Derek S.Harbour,96,16.1018552088602,112.5,1.13e-16,Nitzschia sigma
150,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,sigma,,,Derek S.Harbour,96,26.0,211.33183864770902,2.11e-16,Nitzschia sigma
151,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudonitzschia,delicatissima,,,Derek S.Harbour,97,6.44893605461228,33.75,3.38e-17,Pseudonitzschia delicatissima
152,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudonitzschia,delicatissima,,,Derek S.Harbour,97,9.0,52.328723891924106,5.23e-17,Pseudonitzschia delicatissima
153,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,fraudulenta,,,Derek S.Harbour,98,20.0,149.637163774564,1.50e-16,Pseudo-nitzschia fraudulenta
155,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,pungens,,,Derek S.Harbour,100,50.0,499.62566872097705,5.00e-16,Pseudo-nitzschia pungens
156,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,seriata,,,Derek S.Harbour,101,70.1442212583855,780.0,7.80e-16,Pseudo-nitzschia seriata
157,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudonitzschia,seriata,,,Derek S.Harbour,102,50.0,499.62566872097705,5.00e-16,Pseudonitzschia seriata
158,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudonitzschia,seriata,,,Derek S.Harbour,102,54.7133265287655,562.5,5.63e-16,Pseudonitzschia seriata
159,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudonitzschia,seriata,,,Derek S.Harbour,102,55.818673474609206,577.5,5.78e-16,Pseudonitzschia seriata
161,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,subcurvata,,,Derek S.Harbour,103,70.1442212583855,780.0,7.80e-16,Pseudo-nitzschia subcurvata
162,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Biddulphiales,Biddulphiaceae,Biddulphia,alternans,,,Derek S.Harbour,104,296.0,5186.298564041621,5.19e-15,Biddulphia alternans
163,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Biddulphiales,Biddulphiaceae,Biddulphia,alternans,,,Derek S.Harbour,104,61.033719900473606,649.519052838329,6.50e-16,Biddulphia alternans
164,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Biddulphiales,Biddulphiaceae,Biddulphia,aurita,,,Derek S.Harbour,105,296.0,5186.298564041621,5.19e-15,Biddulphia aurita
165,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Biddulphiales,Biddulphiaceae,Biddulphia,aurita,,,Derek S.Harbour,105,300.0,5278.71198370118,5.28e-15,Biddulphia aurita
168,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Biddulphiales,Biddulphiaceae,Biddulphia,aurita,,,Derek S.Harbour,105,42.0,397.202729487972,3.97e-16,Biddulphia aurita
169,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Biddulphiales,Biddulphiaceae,Biddulphia,aurita,,,Derek S.Harbour,105,61.033719900473606,649.519052838329,6.50e-16,Biddulphia aurita
170,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Biddulphiales,Biddulphiaceae,Biddulphia,rhombus,,,Derek S.Harbour,106,6147.0,280699.132141552,2.81e-13,Biddulphia rhombus
172,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Bacteriastrum,biconicum,,,Derek S.Harbour,108,132.970404730966,1809.55736846772,1.81e-15,Bacteriastrum biconicum
173,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Bacteriastrum,elongatum,,,Derek S.Harbour,109,132.970404730966,1809.55736846772,1.81e-15,Bacteriastrum elongatum
174,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Bacteriastrum,elongatum,,,Derek S.Harbour,109,91.0595745698061,1099.55742875643,1.10e-15,Bacteriastrum elongatum
175,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Bacteriastrum,furcatum,,,Derek S.Harbour,110,275.0,4707.67177978854,4.71e-15,Bacteriastrum furcatum
176,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Bacteriastrum,furcatum,,,Derek S.Harbour,110,51.2302211293919,515.863159545291,5.16e-16,Bacteriastrum furcatum
177,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Bacteriastrum,furcatum,,,Derek S.Harbour,110,57.6956189902508,603.1857894892411,6.03e-16,Bacteriastrum furcatum
178,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Bacteriastrum,furcatum,,,Derek S.Harbour,110,85.0644085604913,1005.30964914873,1.01e-15,Bacteriastrum furcatum
179,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Bacteriastrum,minus,,,Derek S.Harbour,111,130.595142497652,1767.14586764427,1.77e-15,Bacteriastrum minus
180,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Bacteriastrum,solitarium,,,Derek S.Harbour,112,317.11201792122,5678.4164284544495,5.68e-15,Bacteriastrum solitarium
181,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Bacteriastrum,varians,,,Derek S.Harbour,113,316.11201792122,5654.866776461629,5.65e-15,Bacteriastrum varians
182,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,aequatorialis,,,Derek S.Harbour,114,54.93397267211329,565.486677646163,5.65e-16,Chaetoceros aequatorialis
183,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,affinis,,,Derek S.Harbour,115,20.0,149.637163774564,1.50e-16,Chaetoceros affinis
184,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,affinis,,,Derek S.Harbour,115,26.7508238356519,219.398223686156,2.19e-16,Chaetoceros affinis
185,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,affinis,,,Derek S.Harbour,115,29.0,243.98649417037998,2.44e-16,Chaetoceros affinis
186,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,affinis,,,Derek S.Harbour,115,37.846969337786604,346.34954084936095,3.46e-16,Chaetoceros affinis
187,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,affinis,,,Derek S.Harbour,115,38.7348127005625,357.079632679489,3.57e-16,Chaetoceros affinis
188,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,anastomosans,,,Derek S.Harbour,116,26.7508238356519,219.398223686156,2.19e-16,Chaetoceros anastomosans
189,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,anastomosans,,,Derek S.Harbour,116,29.0,243.98649417037998,2.44e-16,Chaetoceros anastomosans
190,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,anastomosans,,,Derek S.Harbour,116,38.7348127005625,357.079632679489,3.57e-16,Chaetoceros anastomosans
191,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,atlanticus,,,Derek S.Harbour,117,177.72821556450802,2650.7188014664002,2.65e-15,Chaetoceros atlanticus
192,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,atlanticus,,,Derek S.Harbour,117,29.406420306581303,248.495559215387,2.48e-16,Chaetoceros atlanticus
193,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,atlanticus,,,Derek S.Harbour,117,80.99273353876549,942.477796076938,9.42e-16,Chaetoceros atlanticus
197,Diatom,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,atlanticus,,var.skeleton,Derek S.Harbour,119,20.0,149.637163774564,1.50e-16,Chaetoceros atlanticus
