,GenusSpecies,MinWidth,MaxWidth,MinLength,MaxLength,SizeUnit,MinVolume,MaxVolume,VolumeUnit,MinMass,MaxMass,MassUnit,Shape,Sources,Phylum,Notes
64,Marinobacter alkaliphilus,0.3,0.8,2.0,5.0,um,,,,,,,rod,https://www.researchgate.net/publication/8388977_Marinobacter_alkaliphilus_sp_nov_a_novel_alkaliphilic_bacterium_isolated_from_subseafloor_alkaline_serpentine_mud_from_Ocean_Drilling_Program_Site_1200_at_South_Chamorro_Seamount_Mariana_Forearc,proteobacteria,
65,Mastigocladus laminosus,1.5,2.0,8.0,11.0,mm,,,,,,,rod,https://academic.oup.com/femsle/article/364/15/fnx154/3983256,cyanobacteria,
66,Meiothermus chliarophilus,0.5,0.8,1.7,10.0,um,,,,,,,rod,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1574-6968.2002.tb11445.x,Deinococcus-Thermus,Length is variable Cell length based from Meiothermus hypogaeus https://bacdive.dsmz.de/strain/16711
71,Microcystis ichthyoblabe,2.0,3.0,,,um,,,,,,,Spherical,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/50/2/0500767a.pdf?expires=1526386385&id=id&accname=guest&checksum=D6D463D904C41C12E91EDE3C839CD10D,,"Width is Diameter, shape info: Wiki Microcystis"
72,Moritella abyssi,0.8,1.2,2.0,7.0,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/53/2/533.pdf?expires=1526923609&id=id&accname=guest&checksum=0A81172A69073197CC23FFE176BBC42C,proteobacteria,
73,Moritella profunda,0.9,1.2,1.5,5.0,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/53/2/533.pdf?expires=1526923609&id=id&accname=guest&checksum=0A81172A69073197CC23FFE176BBC42C,proteobacteria,
74,Pelotomaculum thermopropionicum,0.7,0.8,1.7,2.8,um,,,,,,,Spherical,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.997
75,Persephonella guaymasensis,0.3,0.4,2.0,4.0,um,,,,,,,rod,http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-52-4-1349#tab2,Aquificae,
76,Persephonella marina,0.3,0.4,2.0,4.0,um,,,,,,,rod,http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-52-4-1349#tab2,Aquificae,
79,Profundimonas piezophila,0.5,0.8,4.0,5.0,um,,,,,,,rod,http://aem.asm.org/content/80/1/54.full,proteobacteria,
80,Pseudoalteromonas antarctica,0.3,0.9,1.0,3.0,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/47/2/ijs-47-2-345.pdf?expires=1526924343&id=id&accname=guest&checksum=FF1A3F36005B016E92C7B9740F808F9A,proteobacteria,
85,Pseudothermotoga lettingae,0.5,1.0,1.5,11.0,um,,,,,,,rod,https://books.google.co.uk/books?id=3znhBwAAQBAJ&pg=PA370&lpg=PA370&dq=thermotogaceae+cell+size&source=bl&ots=iAqIJx8wC_&sig=PVgY-4Ga0mAJzpzmsQnfUfXkjEU&hl=en&sa=X&ved=0ahUKEwjEoreSxorbAhXILsAKHaPCA88Q6AEIMjAC#v=onepage&q=thermotogaceae%20cell%20size&f=false,Thermotogae,Average size of family Thermotogaceae taken. pg.370
86,Pseudoxanthomonas broegbernensis,0.4,0.6,0.8,2.0,um,,,,,,,rod,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Xanthomonadaceae&f=false,proteobacteria,"Could not find size info for genus or species, so info on family: Xanthomonas used; pg. 63 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria"
87,Pseudoxanthomonas taiwanensis,0.4,0.6,0.8,2.0,um,,,,,,,rod,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Xanthomonadaceae&f=false,proteobacteria,pg. 63 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria
89,Psychrobacter muriicola,0.5,1.0,0.5,2.0,um,,,,,,,rod,http://cryosol.ru/images/stuff/liza/shcherb-2009.pdf,proteobacteria,Cells are cocci or coccobacilli
90,Psychroflexus torquis,0.4,1.5,0.5,3.0,um,,,,,,,rod,https://books.google.co.uk/books?id=0kghF7qBE98C&pg=PA258&lpg=PA258&dq=Psychroflexus+torquis+cell+size&source=bl&ots=Rkp9HzNY4S&sig=oi1y7rL_0PSrFXxrPvXfR8KnvhU&hl=en&sa=X&ved=0ahUKEwjggeHa04rbAhVKAsAKHWyXAgw4ChDoAQgtMAE#v=onepage&q=Psychroflexus%20torquis%20cell%20size&f=false,bacteroidetes,pg. 258 of Bergey’s Manual of Systematic Bacteriology Volume 4: The Bacteroidetes
92,Rubrobacter radiotolerans,0.8,1.0,1.0,4.0,um,,,,,,,rod,https://books.google.co.uk/books?id=66UMS7A2KisC&pg=PA2006&lpg=PA2006&dq=Rubrobacter+xylanophilus+cell+volume&source=bl&ots=_8IUoOsVAb&sig=ISGSN_kQXz9eLGaLTAua_OkTDaI&hl=en&sa=X&ved=0ahUKEwij1MrJ1YrbAhUJXMAKHdoNCm84ChDoAQgvMAE#v=onepage&q=Rubrobacter%20xylanophilus%20cell%20volume&f=false,Actinobacteria,pg. 2008 of Bergey’s Manual of Systematic Bacteriology Volume 5: The Actinobacteria
93,Rubrobacter xylanophilus,0.9,1.0,1.0,3.0,um,,,,,,,rod,https://books.google.co.uk/books?id=66UMS7A2KisC&pg=PA2006&lpg=PA2006&dq=Rubrobacter+xylanophilus+cell+volume&source=bl&ots=_8IUoOsVAb&sig=ISGSN_kQXz9eLGaLTAua_OkTDaI&hl=en&sa=X&ved=0ahUKEwij1MrJ1YrbAhUJXMAKHdoNCm84ChDoAQgvMAE#v=onepage&q=Rubrobacter%20xylanophilus%20cell%20volume&f=false,Actinobacteria,pg. 2008 of Bergey’s Manual of Systematic Bacteriology Volume 5: The Actinobacteria
95,Shewanella gelidimarina,0.5,0.8,1.5,2.5,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/47/4/ijs-47-4-1040.pdf?expires=1526993475&id=id&accname=guest&checksum=C762647EEFD31431F488074CDAC07BB4,proteobacteria,
96,Sphaerospermopsis aphanizomenoides,3.5,4.1,4.4,5.1,um,,,,,,,cylindrical,https://www.researchgate.net/publication/283282292_Morphological_and_ecological_characteristics_of_potentially_toxic_invasive_cyanobacterium_Sphaerospermopsis_aphanizomenoides_Forti_Zapomelova_Jezberova_Hrouzek_Hisem_Rehakova_Komarkova_Nostocales_Cyan,cyanobacteria,"Vegetative cell size; Aphanizomenon aphanizomenoides – Name in Consumer column, avergae length of vegetative cell size"
97,Spirulina platensis,10.0,10.0,10.0,100.0,um,,,,,,,rod,http://www.scielo.br/pdf/cta/v33s1/v33s1a26.pdf,cyanobacteria,"pg.180, or 5-6um as stated in https://www.researchgate.net/publication/259503619_SPIRULINA_PLATENSIS_-_FOOD_FOR_FUTURE_A_REVIEW"
99,Staphylococcus xylosus,0.8,1.2,,,um,,,,,,,Spherical,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.420
100,Streptococcus salivarius,0.7,1.0,,,um,,,,,,,Spherical,https://books.google.co.uk/books?id=hPjpBwAAQBAJ&pg=PA114&dq=S.+salivarius+cell+diameter&hl=en&sa=X&ved=0ahUKEwjC0pCfkYrbAhXqK8AKHcGIB38Q6AEILDAB#v=onepage&q=S.%20salivarius%20cell%20diameter&f=false,firmucutes,pg. 114 of reference
102,Sulfobacillus thermotolerans,0.8,1.2,1.5,4.5,um,,,,,,,rod,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1184",firmucutes,
103,Sulfurihydrogenibium kristjanssonii,0.5,0.5,1.5,2.5,um,,,,,,,rod,https://www.researchgate.net/publication/5401401_Sulfurihydrogenibium_kristjanssonii_sp_nov_a_hydrogen-_and_sulfur-oxidizing_thermophile_isolated_from_a_terrestrial_Icelandic_hot_spring,Aquificae,
106,Thermacetogenium phaeum,0.4,0.7,2.0,12.6,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.1256
107,Thermoanaerobacter kivui,0.7,0.7,2.0,3.5,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,"pg.1235, cell size during growth on H2 and CO2"
108,Thermoanaerobacter kivui,0.7,0.8,5.5,7.5,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,"pg.1235,  cell size during growth on glucose "
109,Thermoanaerobacter mathranii,0.7,0.7,1.8,3.9,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.1235
110,Thermoanaerobacter siderophilus,0.4,0.6,3.5,9.0,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.1236
111,Thermoanaerobacterium thermosulfurigenes,0.5,2.0,2.0,20.0,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.1283
112,Thermosipho japonicus,1.0,4.0,10.0,40.0,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/24/1/ijs-24-1-102.pdf?expires=1528305850&id=id&accname=guest&checksum=8DC77D535F45C14893CBC3DA8FF46484,Thermotogae,
113,Thermus thermophilus,0.5,0.5,3.0,3.0,um,,,,,,,rod,https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118960608.gbm00477.pub2,Deinococcus-Thermus,Genus: Thermus size info
115,Trichormus variabilis,7.4,7.4,12.3,14.8,um,,,,,,,oval,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/55/1/11.pdf?expires=1528306749&id=id&accname=guest&checksum=39CA557801A7F9B24A649DBDEEE3E978,cyanobacteria,https://books.google.co.uk/books?id=yjnLAwAAQBAJ&pg=PA224&lpg=PA224&dq=Trichormus+variabilis+cell+diameter&source=bl&ots=FtYPtDMsnF&sig=BSuUkqm7CJej0h9l2vBuwLrHkJ4&hl=en&sa=X&ved=0ahUKEwjVwteVv4fbAhWJA8AKHeK2CSwQ6AEIXTAM#v=onepage&q=Trichormus%20variabilis%20cell%20diameter&f=false  Anabaena = Trichormus variabilis
116,Xanthomonas campestris,0.55,0.75,1.35,2.17,um,,,,,,,rod,https://books.google.co.uk/books?id=8A_yBwAAQBAJ&pg=PA191&lpg=PA191&dq=Xanthomonas+campestris+cell+width&source=bl&ots=LCjaeonYF-&sig=cHYPUCF7EAQ6Dq8eV8xlGskcvMA&hl=en&sa=X&ved=0ahUKEwiO6IXQs5nbAhUMthQKHckwA9o4ChDoAQhDMAc#v=onepage&q=Xanthomonas%20campestris%20cell%20width&f=false,proteobacteria,pg.191
117,Xylella fastidiosa,0.25,0.35,0.9,3.5,um,,,,,,,rod,http://aem.asm.org/content/73/8/2690.full?view=long&pmid=17293518,proteobacteria,
118,Yersinia enterocolitica,0.5,0.8,1.0,3.0,um,,,,,,,rod,http://www.elsevier.es/es-revista-enfermedades-infecciosas-microbiologia-clinica-28-articulo-yersinia-enterocolitica-pathogenesis-virulence-antimicrobial-S0213005X11002655?referer=buscador,proteobacteria,
